LAMMPS data file via write_data, version 29 Sep 2021, timestep = 1000000

6048 atoms
28 atom types
5832 bonds
27 bond types
10368 angles
48 angle types
10368 dihedrals
48 dihedral types
3456 impropers
16 improper types

1.6124998995090998 41.387500100492375 xlo xhi
1.6124998995090998 41.387500100492375 ylo yhi
1.6124998995090998 41.387500100492375 zlo zhi

Masses

1 12.011
2 14.007
3 12.011
4 30.974
5 14.007
6 12.011
7 12.011
8 14.007
9 12.011
10 12.011
11 1.008
12 1.008
13 1.008
14 1.008
15 1.008
16 1.008
17 1.008
18 1.008
19 1.008
20 1.008
21 1.008
22 1.008
23 1.008
24 1.008
25 1.008
26 1.008
27 1.008
28 1.008

Pair Coeffs # lj/cut/coul/long/omp

1 0.066 3.5
2 0.17 3.3
3 0.066 3.5
4 0.2 3.74
5 0.17 3.3
6 0.066 3.5
7 0.066 3.5
8 0.17 3.3
9 0.066 3.5
10 0.066 3.5
11 0.015 2.5
12 0.015 2.5
13 0.015 2.5
14 0.015 2.5
15 0.015 2.5
16 0.015 2.5
17 0.015 2.5
18 0.015 2.5
19 0.015 2.5
20 0.015 2.5
21 0.015 2.5
22 0.015 2.5
23 0.015 2.5
24 0.015 2.5
25 0.015 2.5
26 0.015 2.5
27 0.015 2.5
28 0.015 2.5

Bond Coeffs # harmonic/omp

1 382 1.448
2 382 1.448
3 212 1.843
4 212 1.843
5 382 1.448
6 382 1.448
7 212 1.843
8 382 1.448
9 382 1.448
10 340 1.09
11 340 1.09
12 340 1.09
13 340 1.09
14 340 1.09
15 340 1.09
16 340 1.09
17 340 1.09
18 340 1.09
19 340 1.09
20 340 1.09
21 340 1.09
22 340 1.09
23 340 1.09
24 340 1.09
25 340 1.09
26 340 1.09
27 340 1.09

Angle Coeffs # harmonic/omp

1 51.8 107.2
2 43 109.5
3 62 98.9
4 43 109.5
5 43 109.5
6 62 98.9
7 43 109.5
8 43 109.5
9 35 109.5
10 35 109.5
11 35 109.5
12 35 109.5
13 35 109.5
14 35 109.5
15 35 109.5
16 35 109.5
17 35 109.5
18 35 109.5
19 35 109.5
20 35 109.5
21 35 109.5
22 35 109.5
23 35 109.5
24 35 109.5
25 35 109.5
26 35 109.5
27 33 107.8
28 33 107.8
29 33 107.8
30 33 107.8
31 33 107.8
32 33 107.8
33 33 107.8
34 33 107.8
35 51.8 107.2
36 33 107.8
37 62 98.9
38 33 107.8
39 33 107.8
40 33 107.8
41 33 107.8
42 51.8 107.2
43 33 107.8
44 43 109.5
45 33 107.8
46 33 107.8
47 33 107.8
48 33 107.8

Dihedral Coeffs # opls/omp

1 0 14 0 0
2 0 14 0 0
3 0 14 0 0
4 0 0 0.56 0
5 0 0 0.56 0
6 0 0 0.4 0
7 0 0 0.4 0
8 0 0 0.4 0
9 0 0 0.4 0
10 0 0 0.4 0
11 0 0 0.4 0
12 0 14 0 0
13 0 0 0.56 0
14 0 0 0.4 0
15 0 0 0.4 0
16 0 0 0.56 0
17 0 0 0.4 0
18 0 0 0.56 0
19 0 0 0.56 0
20 0 14 0 0
21 0 0 0.4 0
22 0 0 0.4 0
23 0 0 0.4 0
24 0 14 0 0
25 0 0 0.56 0
26 0 0 0.4 0
27 0 14 0 0
28 0 0 0.56 0
29 0 0 0.56 0
30 0 0 0.56 0
31 0 0 0.4 0
32 0 14 0 0
33 0 0 0.56 0
34 0 0 0.56 0
35 0 0 0.56 0
36 0 0 0.4 0
37 0 0 0.56 0
38 0 0 0.56 0
39 0 0 0.56 0
40 0 0 0.4 0
41 0 0 0.56 0
42 0 0 0.4 0
43 0 14 0 0
44 0 14 0 0
45 0 0 0.4 0
46 0 14 0 0
47 0 0 0.56 0
48 0 14 0 0

Improper Coeffs # cvff/omp

1 0 -1 2
2 0 -1 2
3 0 -1 2
4 0 -1 2
5 0 -1 2
6 0 -1 2
7 0 -1 2
8 0 -1 2
9 0 -1 2
10 0 -1 2
11 0 -1 2
12 0 -1 2
13 0 -1 2
14 0 -1 2
15 0 -1 2
16 0 -1 2

Atoms # full

5884 211 4 1.5331 2.3057293163700834 8.690992223723818 6.005501768243151 1 1 0
5887 211 7 0.09645 4.609792390268845 8.781061756403872 4.3251151588558985 1 1 0
1553 56 13 0.080666666667 10.046391457307566 3.066250167154858 5.355308622508863 0 1 0
5900 211 20 0.080666666667 5.000405394925469 8.919148007321642 3.3608014251162603 1 1 0
5893 211 13 0.080666666667 2.63517124119303 5.0573442974129215 6.180586199258762 1 1 0
825 30 13 0.080666666667 4.302579934386543 3.7277502909042584 5.275751017716722 0 1 1
5901 211 21 0.080666666667 5.245742184785911 8.218388300523905 5.061506244772389 1 1 0
823 30 11 0.080666666667 2.741847482003519 3.179677840954006 4.7473483917562085 0 1 1
5902 211 22 0.080666666667 4.528127892691803 9.789387532197393 4.771761839391491 1 1 0
5881 211 1 0.09645 2.8557864828513777 6.094911138165365 6.41599093309795 1 1 0
5899 211 19 0.080666666667 3.665735953703643 6.396319029371184 3.809410390067868 1 1 0
5886 211 6 0.09645 3.014628033600265 7.2479038890449905 3.4561359322290435 1 1 0
820 30 8 -1.187933333333 6.353108928975546 2.0697211135895413 6.162959511793524 0 1 1
813 30 1 0.09645 3.8061657257279387 3.195277184163402 4.52250172162024 0 1 1
5054 181 14 0.080666666667 6.19036768243577 11.051090622816071 6.118403554999441 1 0 0
